epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.248,1.89534,2.49031,1.37283,0.23999,0.04774,0.04632,0.01376,2.64389,10.3761,2.13174,0.0703448,0.00329502,0.00329502
2,65.9481,1.76061,1.81105,1.32078,0.35727,0.36414,0.27572,0.11894,2.03353,3.08745,1.7023,0.0403011,0.00658461,0.00658461
3,94.3666,1.74561,1.77476,1.29446,0.50133,0.31329,0.30743,0.1356,2.08727,2.44491,1.55504,0.0102133,0.00983019,0.00983019
4,122.393,1.68698,1.64368,1.26505,0.52696,0.51601,0.47712,0.22216,1.83329,1.80484,1.41667,0.009802,0.009802,0.009802
5,150.53,1.65966,1.62326,1.26036,0.59364,0.54754,0.57426,0.26464,1.65343,1.63149,1.32221,0.009736,0.009736,0.009736
6,178.585,1.59175,1.52468,1.22956,0.57345,0.48823,0.53261,0.26862,1.78441,1.69902,1.34399,0.00967,0.00967,0.00967
7,206.58,1.55454,1.51808,1.22349,0.74047,0.56671,0.64184,0.32485,1.58398,1.51239,1.27237,0.009604,0.009604,0.009604
8,234.842,1.56462,1.48919,1.21371,0.60509,0.65907,0.65232,0.31365,1.56534,1.49014,1.23405,0.009538,0.009538,0.009538
9,263.104,1.51778,1.44465,1.20008,0.80709,0.61413,0.71703,0.36258,1.54165,1.33636,1.22906,0.009472,0.009472,0.009472
10,291.071,1.51581,1.38075,1.19215,0.60396,0.732,0.73217,0.36719,1.5771,1.47562,1.23642,0.009406,0.009406,0.009406
11,319.544,1.48575,1.37771,1.1791,0.6975,0.61392,0.64327,0.32843,1.53924,1.3607,1.22252,0.00934,0.00934,0.00934
12,347.766,1.52001,1.34743,1.18558,0.70822,0.66807,0.70221,0.35667,1.66339,1.42448,1.2855,0.009274,0.009274,0.009274
13,376.025,1.4915,1.30597,1.17957,0.65784,0.78092,0.73555,0.40693,1.54319,1.28259,1.21833,0.009208,0.009208,0.009208
14,403.643,1.47723,1.31645,1.18606,0.63754,0.76112,0.74464,0.38971,1.55774,1.26143,1.22823,0.009142,0.009142,0.009142
15,431.49,1.47867,1.30285,1.17505,0.77494,0.67176,0.78722,0.40215,1.56461,1.29514,1.2413,0.009076,0.009076,0.009076
16,460.54,1.48489,1.2743,1.17973,0.70979,0.71871,0.77435,0.42118,1.55256,1.20229,1.22258,0.00901,0.00901,0.00901
17,488.84,1.45906,1.27194,1.16431,0.69339,0.68253,0.731,0.3835,1.53396,1.26525,1.20917,0.008944,0.008944,0.008944
18,517.214,1.45541,1.25359,1.16673,0.70918,0.67227,0.69931,0.37213,1.60904,1.3684,1.24296,0.008878,0.008878,0.008878
19,545.001,1.47028,1.23801,1.15732,0.75192,0.77653,0.79242,0.44792,1.50133,1.16089,1.19915,0.008812,0.008812,0.008812
20,573.331,1.45105,1.23923,1.16624,0.69859,0.74421,0.77399,0.41944,1.5302,1.19246,1.21491,0.008746,0.008746,0.008746
21,601.929,1.40775,1.16482,1.13891,0.70655,0.82033,0.78285,0.44288,1.4879,1.14044,1.18618,0.00868,0.00868,0.00868
22,629.644,1.42993,1.20161,1.14759,0.69473,0.77457,0.77014,0.4223,1.50167,1.2478,1.20631,0.008614,0.008614,0.008614
23,657.876,1.43097,1.16241,1.15266,0.70688,0.79833,0.80193,0.46452,1.48984,1.18997,1.20228,0.008548,0.008548,0.008548
24,686.821,1.41755,1.15029,1.14315,0.72538,0.72937,0.76741,0.42566,1.52732,1.16717,1.22011,0.008482,0.008482,0.008482
25,715.868,1.39263,1.11704,1.13388,0.75564,0.76998,0.78913,0.45413,1.51357,1.19546,1.20773,0.008416,0.008416,0.008416
26,744.405,1.38736,1.11039,1.13905,0.75968,0.73711,0.75207,0.42864,1.5313,1.24261,1.20919,0.00835,0.00835,0.00835
