                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9128,                 4.2496,                 1.4189,                0.00427,                0.37546,                0.04888,                0.03139,                 1.4809,                 4.1948,                 1.1305,             0.00021658,             0.00021658,             0.00021658
                      2,                 1.5779,                 2.7132,                 1.1689,                0.79782,                0.17982,                 0.2254,                0.13665,                 1.5283,                 3.1231,                   1.06,             0.00039778,             0.00039778,             0.00039778
                      3,                 1.4761,                 2.3899,                 1.0845,                0.57757,                0.03692,                0.15552,                0.07963,                 1.5364,                  2.766,                 1.0543,             0.00053445,             0.00053445,             0.00053445
                      4,                  1.432,                 2.0424,                 1.0671,                0.87309,                0.28496,                0.37933,                0.23501,                 1.4614,                 2.4097,                 1.0255,              0.0005856,              0.0005856,              0.0005856
                      5,                 1.4156,                 2.0018,                 1.0685,                0.49928,                0.45379,                0.42062,                0.25421,                 1.4565,                 1.8811,                 1.0449,              0.0005856,              0.0005856,              0.0005856
                      6,                 1.3537,                 1.8572,                 1.0503,                0.43778,                0.46147,                0.45652,                0.30925,                 1.4337,                 1.8159,                  1.042,             0.00050313,             0.00050313,             0.00050313
                      7,                 1.3148,                 1.7539,                 1.0208,                0.52065,                0.55772,                0.56566,                0.37329,                 1.3837,                 1.6046,                 1.0069,             0.00042066,             0.00042066,             0.00042066
                      8,                 1.3329,                 1.6755,                 1.0245,                0.50686,                0.59737,                0.53156,                0.33521,                 1.4137,                 1.5591,                 1.0143,              0.0003382,              0.0003382,              0.0003382
                      9,                 1.2661,                  1.512,                0.99985,                0.55787,                 0.5777,                0.55946,                0.37839,                 1.3671,                  1.424,                0.99409,             0.00025573,             0.00025573,             0.00025573
                     10,                 1.2619,                 1.5339,                 0.9933,                0.49631,                0.56219,                0.57197,                0.37133,                 1.4048,                 1.3912,                0.99838,             0.00017326,             0.00017326,             0.00017326
