epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.18,1.81531,2.20801,1.32615,0.0627,0.06568,0.04316,0.01215,3.2727,14.5554,3.32542,0.0703448,0.00329502,0.00329502
2,881.238,1.75531,1.86112,1.31752,0.27354,0.11932,0.11355,0.04765,2.91548,4.90257,2.66904,0.0402136,0.00649711,0.00649711
3,1322.59,1.7047,1.77445,1.29708,0.35199,0.53597,0.42703,0.19401,1.75329,2.67013,1.35688,0.00995034,0.0095672,0.0095672
4,1763.47,1.65768,1.7098,1.2732,0.41251,0.29299,0.25495,0.11272,2.08193,2.71489,1.70904,0.009406,0.009406,0.009406
5,2204.12,1.64938,1.65173,1.26523,0.69046,0.59786,0.62923,0.29593,1.72576,1.71448,1.33741,0.009208,0.009208,0.009208
6,2644.67,1.6249,1.59109,1.25457,0.56048,0.56985,0.53725,0.24583,1.68597,1.5789,1.32787,0.00901,0.00901,0.00901
7,3085.54,1.57727,1.50258,1.23741,0.59949,0.58399,0.60076,0.30973,1.60447,1.68041,1.2488,0.008812,0.008812,0.008812
8,3525.67,1.55114,1.48702,1.21768,0.64311,0.60237,0.60945,0.30074,1.60863,1.43557,1.27489,0.008614,0.008614,0.008614
9,3966.86,1.54342,1.43076,1.21486,0.59159,0.65157,0.61578,0.27167,1.78562,1.56702,1.34787,0.008416,0.008416,0.008416
10,4407.56,1.52829,1.41762,1.20703,0.5513,0.74362,0.67491,0.36312,1.61285,1.36304,1.25877,0.008218,0.008218,0.008218
11,4848.84,1.48989,1.36018,1.18521,0.70472,0.7286,0.74232,0.42035,1.59337,1.34895,1.25044,0.00802,0.00802,0.00802
12,5290.29,1.49169,1.33558,1.18469,0.78973,0.6428,0.70804,0.37382,1.57505,1.2955,1.23988,0.007822,0.007822,0.007822
13,5730.79,1.45907,1.30443,1.16999,0.72917,0.76118,0.76428,0.43211,1.56148,1.24189,1.22631,0.007624,0.007624,0.007624
14,6171.3,1.47305,1.28942,1.17168,0.69907,0.59291,0.64169,0.32666,1.67648,1.44456,1.26467,0.007426,0.007426,0.007426
15,6612.94,1.47005,1.26202,1.16794,0.62355,0.77952,0.7641,0.41359,1.53576,1.26113,1.21284,0.007228,0.007228,0.007228
16,7053.55,1.46118,1.2612,1.17052,0.76608,0.64056,0.76576,0.39478,1.60341,1.40302,1.2428,0.00703,0.00703,0.00703
17,7494.12,1.45617,1.2492,1.16218,0.79198,0.61921,0.74049,0.39598,1.51618,1.25435,1.21399,0.006832,0.006832,0.006832
18,7935.25,1.45798,1.22878,1.17313,0.71593,0.74132,0.75058,0.42142,1.5554,1.25843,1.21729,0.006634,0.006634,0.006634
19,8376.35,1.43205,1.20943,1.14796,0.7155,0.75628,0.76155,0.41918,1.54196,1.23475,1.22259,0.006436,0.006436,0.006436
20,8816.84,1.41825,1.18226,1.14225,0.7744,0.78523,0.79753,0.44183,1.49104,1.20389,1.19511,0.006238,0.006238,0.006238
21,9258.92,1.43632,1.17862,1.14907,0.79936,0.78496,0.81214,0.45881,1.50628,1.12886,1.19528,0.00604,0.00604,0.00604
22,9699.61,1.40348,1.17066,1.14752,0.73608,0.77844,0.76536,0.43139,1.51832,1.21772,1.21042,0.005842,0.005842,0.005842
23,10141.2,1.39283,1.12967,1.13227,0.76385,0.78899,0.80072,0.45632,1.51578,1.11665,1.1951,0.005644,0.005644,0.005644
24,10581.9,1.39127,1.11723,1.13287,0.74934,0.72396,0.76172,0.41776,1.55521,1.26916,1.23104,0.005446,0.005446,0.005446
25,11024.4,1.37551,1.11938,1.12998,0.76071,0.81251,0.7845,0.4463,1.49207,1.11407,1.19522,0.005248,0.005248,0.005248
26,11466.8,1.38161,1.11011,1.12926,0.69766,0.80714,0.78469,0.45501,1.45895,1.1237,1.17201,0.00505,0.00505,0.00505
27,11909.4,1.35869,1.06423,1.1214,0.82304,0.77506,0.81852,0.47468,1.49563,1.0761,1.2014,0.004852,0.004852,0.004852
28,12352.1,1.37009,1.0831,1.12403,0.74157,0.81474,0.80174,0.48181,1.43517,1.08846,1.15989,0.004654,0.004654,0.004654
29,12794.4,1.34081,1.05796,1.11566,0.8052,0.7441,0.8074,0.4819,1.46404,1.07265,1.17813,0.004456,0.004456,0.004456
30,13237.7,1.33614,1.0286,1.1081,0.74411,0.77185,0.80056,0.47818,1.48902,1.22725,1.18541,0.004258,0.004258,0.004258
31,13681.1,1.33264,1.02293,1.0981,0.79957,0.80865,0.83201,0.47941,1.45487,1.04649,1.16842,0.00406,0.00406,0.00406
32,14123.2,1.32303,0.99395,1.10192,0.78206,0.82205,0.82555,0.48624,1.47378,1.03478,1.17341,0.003862,0.003862,0.003862
33,14564.9,1.3224,0.9886,1.11264,0.77479,0.81744,0.79111,0.46684,1.45626,1.06112,1.16873,0.003664,0.003664,0.003664
