epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.889,1.27363,1.39561,1.11716,0.72261,0.57673,0.60132,0.34609,1.50855,1.4564,1.32063,0.0700857,0.00332381,0.00332381
2,290.432,1.18287,1.07939,1.08874,0.831,0.70327,0.82062,0.54192,1.12057,0.94893,1.07662,0.0400198,0.00659124,0.00659124
3,430.466,1.11195,0.98368,1.05866,0.79331,0.77612,0.83774,0.58379,1.06893,1.03384,1.05129,0.0098879,0.00979266,0.00979266
4,569.086,1.06854,0.89441,1.04426,0.84961,0.82862,0.87333,0.62235,1.03219,0.8404,1.03937,0.009703,0.009703,0.009703
5,706.757,1.01918,0.85279,1.02708,0.8878,0.78662,0.88232,0.63074,1.02483,0.76004,1.03149,0.009604,0.009604,0.009604
6,845.588,0.99352,0.80613,1.01828,0.84907,0.80642,0.88012,0.63998,0.98407,0.76358,1.02214,0.009505,0.009505,0.009505
7,998.814,0.969,0.78326,1.00611,0.8782,0.87439,0.90704,0.66135,0.94379,0.69717,1.01179,0.009406,0.009406,0.009406
8,1158.64,0.94274,0.75402,0.99388,0.85756,0.88212,0.91046,0.66485,0.93681,0.67782,1.00356,0.009307,0.009307,0.009307
9,1317.21,0.94057,0.74726,0.99538,0.87402,0.89155,0.92374,0.69195,0.9098,0.67952,0.99476,0.009208,0.009208,0.009208
10,1476.69,0.91684,0.7212,0.9835,0.88784,0.88284,0.92208,0.68722,0.90925,0.64891,0.99569,0.009109,0.009109,0.009109
11,1635.85,0.89679,0.67981,0.97601,0.86161,0.87608,0.91214,0.66351,0.92171,0.67975,0.99498,0.00901,0.00901,0.00901
12,1793.06,0.88581,0.68362,0.96978,0.90003,0.8739,0.93038,0.69535,0.88801,0.63242,0.98382,0.008911,0.008911,0.008911
13,1935.74,0.87379,0.66207,0.96927,0.89528,0.8629,0.92157,0.71233,0.85739,0.60165,0.97928,0.008812,0.008812,0.008812
14,2076.73,0.85822,0.64786,0.96063,0.89369,0.88473,0.91784,0.70499,0.87232,0.61346,0.97644,0.008713,0.008713,0.008713
15,2215.94,0.85144,0.63599,0.96077,0.89528,0.91014,0.93361,0.72918,0.83597,0.5949,0.9699,0.008614,0.008614,0.008614
16,2355.49,0.85419,0.63323,0.96289,0.89574,0.91321,0.93529,0.73181,0.84464,0.58652,0.9683,0.008515,0.008515,0.008515
17,2495.21,0.82641,0.60258,0.95245,0.91989,0.86896,0.93669,0.73008,0.83111,0.58051,0.96795,0.008416,0.008416,0.008416
18,2634.63,0.82185,0.61223,0.9511,0.93695,0.88782,0.93538,0.73274,0.83179,0.57925,0.96523,0.008317,0.008317,0.008317
19,2774.36,0.80865,0.58791,0.94652,0.89962,0.89728,0.93613,0.73057,0.82133,0.58329,0.96543,0.008218,0.008218,0.008218
20,2912.48,0.78892,0.58003,0.93561,0.91003,0.88116,0.93195,0.73441,0.82245,0.56548,0.96424,0.008119,0.008119,0.008119
21,3051.89,0.79465,0.57583,0.93863,0.89605,0.89574,0.93506,0.73887,0.8146,0.57936,0.9609,0.00802,0.00802,0.00802
22,3187.49,0.77522,0.56041,0.93389,0.8867,0.91408,0.93415,0.74822,0.8136,0.56153,0.95777,0.007921,0.007921,0.007921
23,3324.37,0.77351,0.55846,0.93063,0.88184,0.90364,0.93418,0.75351,0.80127,0.5599,0.95962,0.007822,0.007822,0.007822
24,3463.84,0.76379,0.55243,0.92798,0.91826,0.91494,0.94386,0.75298,0.80937,0.5541,0.95817,0.007723,0.007723,0.007723
25,3603.96,0.75794,0.53799,0.92875,0.89762,0.91918,0.94353,0.76122,0.7893,0.53814,0.95463,0.007624,0.007624,0.007624
26,3742.21,0.75558,0.53343,0.92401,0.90088,0.92434,0.94493,0.75981,0.79029,0.5295,0.95456,0.007525,0.007525,0.007525
27,3884.62,0.74187,0.51986,0.92249,0.89637,0.91821,0.93944,0.75757,0.7874,0.54677,0.95643,0.007426,0.007426,0.007426
28,4026.77,0.73256,0.51599,0.919,0.90599,0.91098,0.94429,0.76498,0.77227,0.53201,0.95132,0.007327,0.007327,0.007327
29,4166.21,0.73986,0.51769,0.9202,0.91243,0.9226,0.94184,0.76422,0.77876,0.53161,0.95183,0.007228,0.007228,0.007228
30,4305.77,0.72441,0.50436,0.91425,0.91761,0.89394,0.94586,0.76211,0.77493,0.53362,0.94912,0.007129,0.007129,0.007129
31,4446.25,0.71797,0.49398,0.91121,0.91221,0.9183,0.94532,0.76993,0.77332,0.52364,0.95201,0.00703,0.00703,0.00703
32,4586.73,0.70728,0.4902,0.90844,0.91873,0.91525,0.94026,0.76481,0.77308,0.53114,0.95104,0.006931,0.006931,0.006931
33,4725.93,0.70852,0.48709,0.9097,0.9151,0.92836,0.94676,0.77701,0.76431,0.52232,0.94535,0.006832,0.006832,0.006832
34,4866.11,0.69812,0.47571,0.90573,0.92388,0.91879,0.94503,0.77064,0.77107,0.53276,0.94853,0.006733,0.006733,0.006733
35,5004.91,0.68583,0.47678,0.9017,0.88431,0.92044,0.94209,0.77144,0.76122,0.52514,0.94626,0.006634,0.006634,0.006634
36,5143.26,0.67644,0.46354,0.89912,0.90308,0.93136,0.94302,0.76843,0.76522,0.52961,0.94741,0.006535,0.006535,0.006535
37,5284.22,0.68374,0.46569,0.90175,0.93614,0.91975,0.94958,0.77871,0.766,0.52023,0.95005,0.006436,0.006436,0.006436
38,5424.61,0.68272,0.4592,0.90052,0.91608,0.90296,0.94432,0.77727,0.75641,0.51856,0.94847,0.006337,0.006337,0.006337
39,5564.65,0.67604,0.45957,0.89921,0.90088,0.92167,0.94247,0.7741,0.7609,0.52331,0.94439,0.006238,0.006238,0.006238
40,5704.41,0.67848,0.4557,0.90073,0.91309,0.91685,0.94527,0.78023,0.7462,0.51194,0.94268,0.006139,0.006139,0.006139
41,5844.77,0.66572,0.44439,0.89237,0.911,0.92387,0.94546,0.77458,0.7457,0.51268,0.94187,0.00604,0.00604,0.00604
42,5984.95,0.65656,0.43852,0.89427,0.92794,0.92108,0.94631,0.77539,0.74847,0.51053,0.94864,0.005941,0.005941,0.005941
43,6125.21,0.65206,0.44413,0.89204,0.91531,0.92683,0.94816,0.78679,0.74455,0.50873,0.94345,0.005842,0.005842,0.005842
44,6265.31,0.65945,0.43906,0.89194,0.90424,0.88625,0.93575,0.77761,0.74397,0.50299,0.94234,0.005743,0.005743,0.005743
45,6406.16,0.64561,0.4276,0.88996,0.93603,0.88885,0.94952,0.78377,0.73606,0.50536,0.93935,0.005644,0.005644,0.005644
46,6545.09,0.63669,0.4293,0.88811,0.91852,0.9087,0.94666,0.78743,0.73409,0.51205,0.9408,0.005545,0.005545,0.005545
47,6687.16,0.63426,0.42257,0.88632,0.93189,0.92523,0.95118,0.77593,0.73561,0.51028,0.93806,0.005446,0.005446,0.005446
48,6827.84,0.63127,0.41824,0.88109,0.90725,0.90871,0.94148,0.77974,0.73483,0.50664,0.94168,0.005347,0.005347,0.005347
49,6969.7,0.61958,0.40933,0.87934,0.9135,0.91476,0.94231,0.78148,0.73054,0.4936,0.93994,0.005248,0.005248,0.005248
50,7113.32,0.63372,0.4141,0.88864,0.91789,0.90842,0.9446,0.78381,0.73253,0.50263,0.94353,0.005149,0.005149,0.005149
51,7254.28,0.61292,0.4025,0.87939,0.92099,0.9109,0.94481,0.78194,0.73418,0.50366,0.94425,0.00505,0.00505,0.00505
52,7394.48,0.62212,0.40132,0.88223,0.92167,0.91539,0.94164,0.78672,0.72856,0.4927,0.93984,0.004951,0.004951,0.004951
53,7534.48,0.60815,0.39757,0.87744,0.91705,0.9275,0.94983,0.78823,0.72905,0.49676,0.94143,0.004852,0.004852,0.004852
54,7675.83,0.60402,0.39623,0.87627,0.92083,0.90891,0.94787,0.78518,0.72625,0.50448,0.94228,0.004753,0.004753,0.004753
55,7817.27,0.60652,0.39488,0.87953,0.89906,0.91153,0.94443,0.79162,0.72517,0.50296,0.93972,0.004654,0.004654,0.004654
56,7958.83,0.60597,0.39383,0.87767,0.92617,0.9108,0.94687,0.78824,0.71887,0.49732,0.93975,0.004555,0.004555,0.004555
57,8098.44,0.5945,0.39027,0.87428,0.91993,0.91929,0.94804,0.78776,0.72376,0.49712,0.93938,0.004456,0.004456,0.004456
58,8237.58,0.59088,0.38814,0.87172,0.92632,0.90934,0.94797,0.78644,0.72312,0.50675,0.93891,0.004357,0.004357,0.004357
